"FECHA_DE_AUTORIZACIÓN","TIPO_DE_SOLICITUD","SOLICITANTE/IMPORTADOR","IUM","PRINCIPIO_ACTIVO1","CONCENTRACIÓN_DELMEDICAMENTO1","UNIDAD_MEDIDA1","PRINCIPIO_ACTIVO2","CONCENTRACIÓN_DEL_MEDICAMENTO2","UNIDAD_MEDIDA2","FORMA_FARMACÉUTICA","NOMBRE_COMERCIAL_","CANTIDAD_SOLICITADA","PRESENTACIÓN_COMERCIAL","DIAGNOSTICO_CIE-1NO REPORTA","CÓDIGO_DIAGNOSTICO_CIE-10"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","1A1004071000102","Mezcla 6 gramineas 100%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","1","ESTUCHES X 20 VIALES X 3 mL","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","1A1004071000102","Mezcla 6 gramineas 100%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","49","ESTUCHES X 20 VIALES X 3 mL","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","1A1051161000101","Epitelio de perro 100%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","1","ESTUCHE X 20 VIALES DE 3 ML","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","1A1051161000101","Epitelio de perro 100%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","86","ESTUCHE X 20 VIALES DE 3 ML","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","1A1050241000101","Epitelio de Gato 100%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","100","ESTUCHES X 20 VIALES DE 3 ML","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","1A1051161000101","Epitelio de perro 100%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","7","ESTUCHE X 20 VIALES DE 3 ML","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","2A1050201000101","D. PTERONYSSINUS 33,3%, D. FARINAE 33,3%, B. TROPICALIS 33,3%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","32","ESTUCHES X 50 VIALES DE 3mL","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","2A1050231000101","D. PTERONYSSINUS 50%  + D. FARINAE 50%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","50","CAJA X 50 VIALES X 3 mL","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","2A1050231000101","D. PTERONYSSINUS 50%  + D. FARINAE 50%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","50","CAJA X 50 VIALES X 3 mL","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","2A1050231000101","D. PTERONYSSINUS 50%  + D. FARINAE 50%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","10","CAJA X 50 VIALES X 3 mL","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","2A1050231000101","D. PTERONYSSINUS 50%  + D. FARINAE 50%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","49","CAJA X 50 VIALES X 3 mL","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","2A1050231000101","D. PTERONYSSINUS 50%  + D. FARINAE 50%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","49","CAJA X 50 VIALES X 3 mL","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","2A1050231000101","D. PTERONYSSINUS 50%  + D. FARINAE 50%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","49","CAJA X 50 VIALES X 3 mL","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","2A1050231000101","D. PTERONYSSINUS 50%  + D. FARINAE 50%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","44","CAJA X 50 VIALES X 3 mL","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","2A1050231000101","D. PTERONYSSINUS 50%  + D. FARINAE 50%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","19","CAJA X 50 VIALES X 3 mL","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","1G1036161001100","GOLODIRSEN","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","VYONDYS","144","CAJAS X 1 VIAL DE 2 mL","DISTROFIA MUSCULAR","G710"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","SOLUCOL GROUP S.A.S","1T1007651003100","TOLVAPTAN","30","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","27","CAJA X 10 TABLETAS","RIÑON POLIQUISTICO, TIPO ADULTO","Q612"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1049281000100","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/75","mg","IVACAFTOR","150","mg","TABLETA","TRIKAFTA","6","CAJAS X 84 TABLETAS","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - VALENTECH","2E1032451000100","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/75","mg","IVACAFTOR","150","mg","TABLETA","TRIKAFTA","6","CAJAS X 84 TABLETAS","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","JAASIEL SAS - ORPHANDC G COL S.A.S","1R1060901000100","ROPEGINTERFERON ALFA 2B","500","mcg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","BESREMI","12","CAJA x UNA (1) JERINGA PRECARGADA X 1 mL","POLICITEMIA VERA","D45X"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","IMPROVIT MEDICAL SAS","1T1001911004100","TOLVAPTAN","15","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","96","CAJAS X 10 TABLETAS","RIÑON POLIQUISTICO, TIPO ADULTO","Q612"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1040751000100","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","50/25/37,5","mg","IVACAFTOR","75","mg","TABLETA","TRIKAFTA","6","CAJAS X 84 TABLETAS","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","HOLLAND GROUP SAS","1N1025871005100","NOREPINEFRINA","1","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NORSTAR","10.000","CAJAS X 5 AMPOLLAS X 4 mL","ANGINA INESTABLE","I200"
"2024 Oct 25 12:00:00 AM","MÁS DE UN PACIENTE","HOLLAND GROUP SAS","1N1025871005100","NOREPINEFRINA","1","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NORSTAR","10.000","CAJAS X 5 AMPOLLAS X 4 mL","ANGINA INESTABLE","I200"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","INTERNATIONAL PHARMACEUTICAL PRODUCTS SAS (INPHAPRO SAS)","1U1003271000100","UBIDECARENONA (UBIQUINOL LIPOSOMAL)","8","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN ORAL","CYTO-Q","18","CAJAS X 30 SOBRES","MIOPATIA MITOCONDRICA, NO CLASIFICADA EN OTRA PARTE","G713"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","ROCKA INTERNATIONAL SOLUTIONS","1I1039341000100","INTERFERON ALFA 2 BETA","6","MUI/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","RELIFERON","15","CAJAS X 1 VIAL X 0,5 mL","TUMOR BENIGNO DEL CONDUCTO CRANEOFARINGEO","D353"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","AUDIFARMA S.A.","1V1041501000101","VOSORITIDA","0.8","mg/mL","NO APLICA","NO APLICA","NO APLICA","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE","VOXZOGO","18","CAJAS X 10 VIALES X 0,5mL","ACONDROPLASIA","Q774"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","IMPROVIT MEDICAL SAS","1T1001911004100","TOLVAPTAN","15","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","72","CAJAS X 10 TABLETAS","RIÑON POLIQUISTICO, TIPO ADULTO","Q612"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","RECORDATI RARE DISEASES COLOMBIA S.A.S","1D1045621000100","DINUTUXIMAB BETA","4.5","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN CONCENTRADA PARA PERFUSIÓN","QARZIBA","15","CAJAS X UN (1) VIAL","TUMOR MALIGNO DE LA CORTEZA DE LA GLANDULA SUPRARRENAL","C740"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","SOLUCOL GROUP S.A.S","1T1001911004100","TOLVAPTAN","15","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","144","CAJAS. CADA CAJA CON 10 TABLETAS","RIÑON POLIQUISTICO, TIPO NO ESPECIFICADO","Q613"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - VALENTECH","1G1036161001100","GOLODIRSEN","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","VYONDYS","240","CAJAS X UN (1) VIAL DE 2 mL","DISTROFIA MUSCULAR","G710"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","INTERNATIONAL PHARMACEUTICAL PRODUCTS SAS (INPHAPRO SAS)","1P1012181003100","CLORURO DE POTASIO","1500","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","K-LOR CON M20","18","FRASCOS X 100 TABLETAS","HIPOPOTASMIA","E876"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1049281000100","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/75","mg","IVACAFTOR","150","mg","TABLETA","TRIKAFTA","6","CAJAS X 84 TABLETAS","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","SALUTIS SAS","1T1038551000102","TREPROSTINIL","0.6","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN ESTERIL PARA INHALACIÓN ORAL","TYVASO","2","KIT DE MANTENIMIENTO. CADA KIT QUE CONTIENE: una (1) Caja con 28 ampollas de treprostinil para inhalación oral - Tyvaso® (Siete sobres de aluminio que contienen cuatro ampollas de LDPE de 2,9 ml cada uno), un (1) sistema de registro del tratamiento, treinta y dos (32) pocillos de medicamento, un (1) set de conjunto superior del sistema de inhalación (conjunto superior, pieza de inhalación, boquilla y dos (2) cartuchos de filtro), dos (2) tapones para almacenamiento entre sesiones de tratamiento, y sesenta y cinco (65) membranas de filtro.","HIPERTENSION PULMONAR PRIMARIA","I270"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","SALUTIS SAS","1T1038551000101","TREPROSTINIL","0.6","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN ESTERIL PARA INHALACIÓN ORAL","TYVASO","1","KIT DE INICIO PARA PACIENTE: QUE CONTIENE: una (1) caja con 28 ampollas de treprostinil para inhalación oral - Tyvaso® (Siete sobres de aluminio que contienen cuatro ampollas de LDPE de 2,9 mL cada uno), dos (2) dispositivos de inhalación Tyvaso®, un (1) manual de instrucciones de uso del sistema de inhalación oral Tyvaso®, un (1) sistema de registro del tratamiento, dos (2) enchufes de CA, treinta y dos (32) pocillos de medicamento, dos (2) sets de conjunto superior del sistema de inhalación (conjunto superior, pieza de inhalación, boquilla y dos (2) cartuchos de filtro), un (1) vaso de nivel de agua, dos (2) tapones para almacenamiento entre sesiones de tratamiento, un (1) maletín de transporte, una (1) botella de agua destilada y sesenta y cinco (65) membranas de filtro.","HIPERTENSION PULMONAR PRIMARIA","I270"
"2024 Oct 25 12:00:00 AM","URGENCIA CLÍNICA","VALENTECH PHARMA COLOMBIA SAS","1E1062481000100","ESTIRIPENTOL","500","mg","NO APLICA","NO APLICA","NO APLICA","POLVO GRANULADO PARA RECONSTITUIR A SUSPENSIÓN ORAL","DIACOMIT","2","CAJAS X 60 SACHETS","OTRAS EPILEPSIAS Y SINDROMES EPILEPTICOS GENERALIZADOS","G404"
"2024 Oct 25 12:00:00 AM","URGENCIA CLÍNICA","VALENTECH PHARMA COLOMBIA SAS","1E1033171000100","ESTIRIPENTOL","250","mg","NO APLICA","NO APLICA","NO APLICA","POLVO GRANULADO PARA RECONSTITUIR A SUSPENSIÓN ORAL","DIACOMIT","1","CAJAS X 60 SACHETS","OTRAS EPILEPSIAS Y SINDROMES EPILEPTICOS GENERALIZADOS","G404"
"2024 Oct 25 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S","1A1014981000100","AZTREONAM","75","mg","NO APLICA","NO APLICA","NO APLICA","POLVO PARA NEBULIZAR","CAYSTON","3","CAJA X 84 VIALES","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2024 Oct 24 12:00:00 AM","PACIENTE ESPECIFICO","AUDIFARMA S.A.","1V1030561000100","VOLANESORSEN","190","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","WAYLIVRA","12","CAJAS X 1 JERINGA X 1,5 mL","HIPERQUILOMICRONEMIA","E783"
"2024 Oct 23 12:00:00 AM","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1S1015871003100","BICARBONATO DE SODIO","1","mEq/ml","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10.000","CAJA X 5 AMPOLLAS X 10 mL","HIPERPOTASEMIA","E875"
"2024 Oct 23 12:00:00 AM","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1S1015871003100","BICARBONATO DE SODIO","1","mEq/ml","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10.000","CAJA X 5 AMPOLLAS X 10 mL","ACIDOSIS","E872"
"2024 Oct 23 12:00:00 AM","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1S1015871003100","BICARBONATO DE SODIO","1","mEq/ml","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10.000","CAJA X 5 AMPOLLAS X 10 mL","HIPERPOTASEMIA","E875"
"2024 Oct 23 12:00:00 AM","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1S1015871003100","BICARBONATO DE SODIO","1","mEq/ml","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10.000","CAJA X 5 AMPOLLAS X 10 mL","ACIDOSIS","E872"
"2024 Oct 23 12:00:00 AM","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1S1015871003100","BICARBONATO DE SODIO","1","mEq/ml","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10.000","CAJA X 5 AMPOLLAS X 10 mL","ACIDOSIS","E872"
"2024 Oct 23 12:00:00 AM","PACIENTE ESPECIFICO","ROCKA INTERNATIONAL SOLUTIONS","1T1001911004100","TOLVAPTAN","15","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","144","CAJAS X 10 TABLETAS","RIÑON POLIQUISTICO, TIPO ADULTO","Q612"
"2024 Oct 23 12:00:00 AM","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1049281000100","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/75","mg","IVACAFTOR","150","mg","TABLETA","TRIKAFTA","6","CAJAS X 84 TABLETAS","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2024 Oct 23 12:00:00 AM","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1032451000100","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/75","mg","IVACAFTOR","150","mg","TABLETA","TRIKAFTA","6","CAJAS X (56+28) TABLETAS (84 TABLETAS)","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","E849"
"2024 Oct 23 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - VALENTECH","2E1032451000100","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/75","mg","IVACAFTOR","150","mg","TABLETA","TRIKAFTA","6","CAJAS X 84 TABLETAS","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2024 Oct 23 12:00:00 AM","PACIENTE ESPECIFICO","LABORATORIOS BIOPAS S.A.","1I1035001000101","IDEBENONA","150","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","RAXONE","3","CAJA X 180 TABLETAS","ATROFIA OPTICA","H472"
"2024 Oct 23 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - VALENTECH","2E1032451000100","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/75","mg","IVACAFTOR","150","mg","TABLETA","TRIKAFTA","6","CAJAS X 84 TABLETAS","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2024 Oct 23 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S","1B1060621000100","BUDESONIDA","4","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","TARPEYO","3","FRASCOS X 120 CAPSULAS","NEFROPATIA POR IgA","NO REPORTADO"
"2024 Oct 23 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S - GLOBAL MARKET ALLIANCE S.A.S.","1A1014981000100","AZTREONAM","75","mg","NO APLICA","NO APLICA","NO APLICA","POLVO PARA NEBULIZAR","CAYSTON","3","CAJA X 84 VIALES","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","E849"
"2024 Oct 23 12:00:00 AM","PACIENTE ESPECIFICO","LABORATORIOS BIOPAS S.A.","1I1035001000101","IDEBENONA","150","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","RAXONE","3","CAJAS X 180 TABLETAS","ATROFIA OPTICA","H472"
"2024 Oct 21 12:00:00 AM","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1032451000100","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/75","mg","IVACAFTOR","150","mg","TABLETA","TRIKAFTA","6","CAJAS X 84 TABLETAS","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2024 Oct 21 12:00:00 AM","MÁS DE UN PACIENTE","HEALTH NET SAS","1C1004121005101","CITARABINA","100","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","1.500","CAJAS X UN (1) VIAL DE 5mL","LEUCEMIA MIELOIDE AGUDA","C920"
"2024 Oct 21 12:00:00 AM","PACIENTE ESPECIFICO","INTERNATIONAL PHARMACEUTICAL PRODUCTS SAS (INPHAPRO SAS)","1B1001101002100","BETANECOL","25","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","MYOCHOLINE -GLENWOOD","3","CAJAS X 100 TABLETAS","VEJIGA NEUROPATICA FLACIDA, NO CLASIFICADA EN OTRA PARTE","N312"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","INTERNATIONAL PHARMACEUTICAL PRODUCTS SAS (INPHAPRO SAS)","1T1049311003100","TOBRAMICINA","60","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN PARA INHALAR","TOBRAL","41","CAJAS X 56 AMPOLLAS X 5 ML","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","INTERNATIONAL PHARMACEUTICAL PRODUCTS SAS (INPHAPRO SAS)","1T1049311003100","TOBRAMICINA","60","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN PARA INHALAR","TOBRAL","24","CAJAS X 56 AMPOLLAS X 5 ML","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2024 Oct 18 12:00:00 AM","PACIENTE ESPECIFICO","PHARMARKET AI S.A.S","1E1005681005101","EPINEFRINA","1","mg/mL",,,,"SOLUCIÓN INYECTABLE","PENEPIN","6","CAJA X 2 APLICADORES X 0,3 ML","EFECTO ADVERSO NO ESPECIFICADO DE DROGA O MEDICAMENTO","T887"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","1A1006321000101","EXTRACTO ALERGÉNICO GATO (EPITELIO) 100%","10","HEP/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","RETARD RAPID","68","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","1A1062591000100","EXTRACTO ALERGÉNICO HORMIGA 100%","25","µg prot / ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","E.H. RETARD","14","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","1A1006331000101","EXTRACTO ALERGÉNICO PERRO (EPITELIO) 100%","10","HEP/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","RETARD RAPID","93","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","1A1062581000100","EXTRACTO ALERGÉNICO GRUPO CUCARACHA 100%","57","µg prot / ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","E.H. RETARD","10","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","1A1027171000101","EXTRACTO ALERGÉNICO MOSQUITO 100%","0.05","%","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","E.H. RETARD","9","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","2A1006311000101","Derm.pter.34% + Derm.farinae 33% + Blomia trop.33%","100","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","735","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","2A1060831000100","Derm.pter. 50% + Derm.farinae  50%","300","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","340","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","2A1006311000101","Derm.pter.34% + Derm.farinae 33% + Blomia trop.33%","100","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","5","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","1A1038871000100","Acarus siro 100%","100","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","2","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","2A1032111000101","Derm.pter.  50% + Blomia trop.  50%","100","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","6","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","2A1060831000100","Derm.pter. 50% + Derm.farinae  50%","300","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","60","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2024 Oct 18 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","2A1032111000101","Derm.pter.  50% + Blomia trop.  50%","100","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","124","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
